lectura_id,sensor_id,timestamp,zona,temperatura_c,humedad_pct,presion_hpa,viento_kmh,lluvia_mm,fecha,hora,dia_semana,sensacion_termica
31,CLM-024,2024-03-05 00:06:00,Centro,20.9,88.5,1020.2,1.4,0.33,2024-03-05,00:06:00,1,20.3986
32,CLM-014,2024-03-04 10:23:00,Este,29.4,66.6,1013.1,8.7,0.39,2024-03-04,10:23:00,0,26.808159999999997
33,CLM-005,2024-03-02 08:26:00,Oeste,14.3,30.6,1010.1,23.3,1.39,2024-03-02,08:26:00,5,13.10632
35,CLM-012,2024-03-03 19:46:00,Puerto,19.9,38.6,1012.7,25.9,1.13,2024-03-03,19:46:00,6,17.46856
36,CLM-008,2024-03-02 04:54:00,Este,21.1,75.0,1014.3,22.5,0.01,2024-03-02,04:54:00,5,19.990000000000002
37,CLM-016,2024-03-05 21:37:00,Oeste,20.4,51.7,1000.4,35.1,0.99,2024-03-05,21:37:00,1,18.390719999999998
38,CLM-025,2024-03-04 12:16:00,Norte,8.9,41.7,1008.0,11.1,0.76,2024-03-04,12:16:00,0,9.15652
39,CLM-018,2024-03-01 05:48:00,Este,13.4,39.1,1007.1,12.0,2.11,2024-03-01,05:48:00,4,12.57176
40,CLM-019,2024-03-04 07:18:00,Oeste,18.6,73.5,1007.8,18.5,2.53,2024-03-04,07:18:00,0,17.6884
41,CLM-014,2024-03-04 23:49:00,Oeste,18.6,49.8,1012.3,11.3,0.93,2024-03-04,23:49:00,0,16.87312
43,CLM-012,2024-03-01 05:16:00,Norte,16.1,90.8,1011.2,24.4,1.56,2024-03-01,05:16:00,4,15.875520000000002
44,CLM-014,2024-03-03 01:03:00,Aeropuerto,15.8,43.2,1019.5,4.2,4.09,2024-03-03,01:03:00,6,14.482240000000001
45,CLM-021,2024-03-04 07:36:00,Norte,29.1,37.8,1007.8,5.3,0.6,2024-03-04,07:36:00,0,24.347920000000002
46,CLM-011,2024-03-05 03:21:00,Centro,17.5,55.5,1011.2,17.9,1.4,2024-03-05,03:21:00,1,16.165
47,CLM-021,2024-03-04 05:48:00,Norte,12.1,75.1,1001.2,25.9,2.39,2024-03-04,05:48:00,0,11.890839999999999
48,CLM-004,2024-03-02 22:36:00,Puerto,18.0,91.4,1004.3,16.9,2.51,2024-03-02,22:36:00,5,17.724800000000002
49,CLM-012,2024-03-02 00:52:00,Aeropuerto,16.6,40.6,1006.7,6.3,0.46,2024-03-02,00:52:00,5,15.03184
50,CLM-020,2024-03-02 16:19:00,Este,22.3,59.8,1006.2,9.3,1.07,2024-03-02,16:19:00,5,20.32216
51,CLM-021,2024-03-02 02:20:00,Sur,20.7,48.1,1002.2,0.0,0.66,2024-03-02,02:20:00,5,18.47868
52,CLM-009,2024-03-01 22:27:00,Oeste,16.0,43.3,1009.4,1.0,2.18,2024-03-01,22:27:00,4,14.6392
53,CLM-023,2024-03-05 11:30:00,Oeste,15.7,50.0,1013.5,25.6,1.7,2024-03-05,11:30:00,1,14.559999999999999
54,CLM-015,2024-03-04 21:23:00,Centro,14.8,81.7,1000.4,0.0,3.61,2024-03-04,21:23:00,0,14.448640000000001
55,CLM-018,2024-03-04 03:48:00,Oeste,26.1,36.0,1003.9,0.0,2.99,2024-03-04,03:48:00,0,21.9784
57,CLM-024,2024-03-02 06:47:00,Norte,17.7,84.2,1015.6,13.7,1.32,2024-03-02,06:47:00,5,17.213359999999998
58,CLM-005,2024-03-01 22:50:00,Este,21.4,74.3,1001.9,13.4,0.16,2024-03-01,22:50:00,4,20.22808
59,CLM-015,2024-03-01 09:26:00,Centro,20.2,49.2,1009.7,11.4,2.67,2024-03-01,09:26:00,4,18.12736
60,CLM-022,2024-03-03 10:35:00,Oeste,14.9,40.8,997.0,21.7,0.57,2024-03-03,10:35:00,6,13.73968
61,CLM-024,2024-03-02 14:30:00,Sur,14.9,89.7,1010.2,14.5,2.61,2024-03-02,14:30:00,5,14.698120000000001
62,CLM-015,2024-03-04 09:15:00,Sur,15.1,34.6,1026.7,14.7,2.54,2024-03-04,09:15:00,0,13.76584
63,CLM-018,2024-03-04 03:56:00,Aeropuerto,6.5,60.8,1010.1,4.0,0.7,2024-03-04,03:56:00,0,7.0488
64,CLM-006,2024-03-05 14:11:00,Norte,13.5,53.4,1019.7,14.6,1.63,2024-03-05,14:11:00,1,12.8476
65,CLM-010,2024-03-04 02:10:00,Norte,20.7,40.4,1023.9,1.8,8.71,2024-03-04,02:10:00,0,18.14912
66,CLM-007,2024-03-04 22:54:00,Este,23.5,92.9,1003.7,23.4,1.17,2024-03-04,22:54:00,0,23.116600000000002
67,CLM-006,2024-03-01 05:18:00,Aeropuerto,16.8,44.2,1007.6,26.5,0.94,2024-03-01,05:18:00,4,15.28224
68,CLM-017,2024-03-03 12:01:00,Sur,15.7,76.3,1026.2,19.8,1.99,2024-03-03,12:01:00,6,15.15964
69,CLM-012,2024-03-05 16:41:00,Sur,21.8,87.1,1011.3,8.6,2.01,2024-03-05,16:41:00,1,21.19112
70,CLM-009,2024-03-02 22:50:00,Este,30.3,73.5,1011.2,5.4,3.97,2024-03-02,22:50:00,5,28.1482
71,CLM-012,2024-03-04 16:04:00,Este,12.4,39.3,1008.8,10.3,0.78,2024-03-04,16:04:00,0,11.81728
72,CLM-015,2024-03-01 12:39:00,Centro,13.4,81.5,1011.2,20.3,1.63,2024-03-01,12:39:00,4,13.1484
73,CLM-009,2024-03-03 23:53:00,Oeste,18.6,44.0,1012.5,15.1,3.75,2024-03-03,23:53:00,6,16.6736
74,CLM-020,2024-03-01 00:24:00,Este,21.3,92.1,1008.6,18.2,1.29,2024-03-01,00:24:00,4,20.94292
75,CLM-009,2024-03-01 17:16:00,Norte,12.9,35.4,1015.2,12.7,0.42,2024-03-01,17:16:00,4,12.150640000000001
76,CLM-013,2024-03-02 18:24:00,Este,20.8,71.7,1009.3,27.7,0.01,2024-03-02,18:24:00,5,19.577440000000003
77,CLM-005,2024-03-01 16:35:00,Sur,13.7,69.9,1023.5,0.0,1.84,2024-03-01,16:35:00,4,13.25452
78,CLM-019,2024-03-03 07:42:00,Norte,21.4,61.2,1016.6,18.5,3.19,2024-03-03,07:42:00,6,19.63072
80,CLM-018,2024-03-02 12:43:00,Oeste,18.6,46.4,1014.4,10.6,2.11,2024-03-02,12:43:00,5,16.75616
81,CLM-008,2024-03-04 05:08:00,Oeste,22.9,77.5,1007.9,25.4,3.38,2024-03-04,05:08:00,0,21.738999999999997
82,CLM-019,2024-03-04 09:32:00,Centro,10.9,92.3,1020.7,25.0,0.57,2024-03-04,09:32:00,0,10.87228
83,CLM-008,2024-03-04 23:26:00,Centro,13.4,55.6,1011.7,7.3,0.03,2024-03-04,23:26:00,0,12.79616
84,CLM-007,2024-03-01 10:34:00,Oeste,22.4,77.9,1025.4,7.9,0.37,2024-03-01,10:34:00,4,21.303839999999997
85,CLM-023,2024-03-03 16:09:00,Norte,22.6,45.2,1022.1,24.0,1.14,2024-03-03,16:09:00,6,19.83808
86,CLM-012,2024-03-03 23:16:00,Este,19.2,79.7,1011.5,3.6,1.0,2024-03-03,23:16:00,6,18.45296
87,CLM-005,2024-03-03 02:03:00,Centro,4.9,49.3,1012.9,18.6,0.51,2024-03-03,02:03:00,6,5.93428
88,CLM-003,2024-03-05 20:16:00,Este,22.3,48.3,1000.9,9.8,5.01,2024-03-05,20:16:00,1,19.75636
89,CLM-014,2024-03-05 17:56:00,Sur,20.1,79.9,1006.1,30.6,4.48,2024-03-05,17:56:00,1,19.28796
90,CLM-021,2024-03-01 04:53:00,Aeropuerto,16.0,74.6,1004.2,10.8,0.17,2024-03-01,04:53:00,4,15.3904
91,CLM-021,2024-03-01 00:46:00,Norte,6.3,55.6,1035.3,6.9,0.32,2024-03-01,00:46:00,4,6.95712
92,CLM-015,2024-03-02 19:38:00,Este,23.0,40.6,1012.7,12.5,1.95,2024-03-02,19:38:00,5,19.9112
93,CLM-013,2024-03-02 21:42:00,Sur,28.5,36.7,1006.8,0.4,0.24,2024-03-02,21:42:00,5,23.8158
94,CLM-001,2024-03-01 21:10:00,Centro,21.0,61.8,1016.0,8.9,3.05,2024-03-01,21:10:00,4,19.3192
95,CLM-024,2024-03-03 19:47:00,Puerto,26.0,55.6,1007.9,17.5,7.42,2024-03-03,19:47:00,6,23.1584
